BreedName,Group,MaleWtKg,Temperment,Intelligence,Watchdog,PopularityUS2017
Border Collie,Herding,17,"Intelligent, Energetic, Alert, Responsive, Tenacious, Loyal, Protective",1,6,38
Poodle,Non Sporting,26,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",2,4,7
Standard Poodle,Non Sporting,26,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",2,4,7
German Shepherd Dog,Herding,35,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",3,6,2
Shepherd,Herding,35,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",3,6,2
White German Shepherd,Herding,35,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",3,6,2
Golden Retriever,Sporting,32,"Confident, Friendly, Intelligent, Kind, Reliable, Trustworthy",4,3,3
Retriever,Sporting,32,"Confident, Friendly, Intelligent, Kind, Reliable, Trustworthy",4,3,3
Doberman Pinscher,Working,43,"Alert, Energetic, Fearless, Intelligent, Loyal, Obedient",5,6,16
Shetland Sheepdog Sheltie,Herding,9,"Affectionate, Friendly, Gentle, Intelligent, Lively, Playful, Responsive",6,4,24
Black Labrador Retriever,Sporting,32,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",7,3,1
Chocolate Labrador Retriever,Sporting,32,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",7,3,1
Labrador Retriever,Sporting,32,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",7,3,1
Yellow Labrador Retriever,Sporting,32,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",7,3,1
Papillon,Toy,5,"Alert, Energetic, Friendly, Happy, Hardy, Intelligent",8,3,53
Rottweiler,Working,51,"Alert, Courageous, Fearless, Good-natured, Independent, Intelligent, Loyal, Protective",9,6,8
Australian Cattle Dog/Blue Heeler,Herding,21,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",10,6,56
Cattle Dog,Herding,21,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",10,6,56
English Springer Spaniel,Sporting,23,"Affectionate, Alert, Cheerful, Energetic, Intelligent, Playful, Social",13,3,27
Belgian Shepherd Tervuren,Herding,34,"Alert, Attentive, Energetic, Intelligent, Loyal, Protective",14,6,103
Schipperke,Non Sporting,7,"Agile, Confident, Curious, Faithful, Fearless, Independent, Intelligent",15,3,110
Belgian Shepherd Dog Sheepdog,Herding,32,"Active, Alert, Confident, Friendly, Hard-working, Protective, Stubborn, Watchful, Intelligent",15,6,120
Collie,Herding,31,"Friendly, Gentle, Intelligent, Loyal, Protective, Responsive, Social",16,5,40
Keeshond,Non Sporting,18,"Agile, Bright, Obedient, Playful, Quick, Sturdy, Intelligent",16,4,87
German Shorthaired Pointer,Working,29,"Affectionate, Boisterous, Bold, Cooperative, Intelligent, Trainable",17,3,10
English Cocker Spaniel,Sporting,14,"Affectionate, Faithful, Friendly, Intelligent, Playful, Quiet, Trainable",18,4,52
Schnauzer,Working,17,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",18,4,90
Flat-coated Retriever,Sporting,30,"Friendly, Confident, Devoted, Optimistic, Outgoing, Intelligent",18,5,96
Brittany Spaniel,Sporting,17,"Alert, Independent, Intelligent, Responsive, Social",19,3,26
Cocker Spaniel,Sporting,10,"Even Tempered, Joyful, Merry, Outgoing, Intelligent, Sociable, Trusting",20,3,29
Spaniel,Sporting,10,"Even Tempered, Joyful, Merry, Outgoing, Intelligent, Sociable, Trusting",20,3,29
Weimaraner,Sporting,29,"Alert, Aloof, Energetic, Fast, Intelligent, Powerful, Steady, Stubborn, Social",21,3,34
Bernese Mountain Dog,Working,44,"Affectionate, Faithful, Intelligent, Loyal",22,5,25
Mountain Dog,Working,44,"Affectionate, Faithful, Intelligent, Loyal",22,5,25
